date,season,matchday,goalkeeper,penaltytaker,homegame,result,minute,goaldiff,gkclub,ptclub,gkage,ptage,gkexp,ptexp
-1769.0,64/65,18.0,"Wolf, Erich","Brunnenmeier, Rudi",1.0,Tor,57.0,-5.0,Karlsruher SC,TSV 1860 München,24.0,24.0,1.0,2.0
-1762.0,64/65,23.0,"Manglitz, Manfred","Hoffmann3, Theodor",1.0,Tor,22.0,-1.0,Meidericher SV,VfB Stuttgart,25.0,24.0,2.0,2.0
-1762.0,64/65,23.0,"Sawitzki, Günter","Nolden, Ludwig",2.0,Tor,69.0,1.0,VfB Stuttgart,Meidericher SV,32.0,29.0,2.0,3.0
-1762.0,64/65,23.0,"Jäcker, Hans","Straschitz, Hermann",1.0,Tor,72.0,1.0,Eintracht Braunschweig,Borussia Dortmund,32.0,24.0,3.0,3.0
-1762.0,64/65,23.0,"Wessel, Bernhard","Ulsaß, Lothar",2.0,Tor,67.0,-1.0,Borussia Dortmund,Eintracht Braunschweig,28.0,24.0,3.0,2.0
-1762.0,64/65,23.0,"Loy, Egon","Overath, Wolfgang",1.0,Tor,52.0,-1.0,Eintracht Frankfurt,1.FC Köln,33.0,21.0,2.0,1.0
-1762.0,64/65,23.0,"Schumacher1, Toni","Lechner, Georg",2.0,Tor,74.0,2.0,1.FC Köln,Eintracht Frankfurt,26.0,23.0,3.0,0.0
-1762.0,64/65,23.0,"Loy, Egon","Benthaus, Helmut",1.0,gehalten,34.0,0.0,Eintracht Frankfurt,1.FC Köln,33.0,29.0,2.0,2.0
-1755.0,64/65,23.0,"Toth, Gyula","Rehhagel, Otto",1.0,Tor,42.0,0.0,FC Schalke 04,Hertha BSC,23.0,26.0,0.0,1.0
-1748.0,64/65,24.0,"Podlasly, Horst","Kreuz2, Manfred",1.0,Tor,40.0,0.0,Hannover 96,FC Schalke 04,29.0,29.0,3.0,3.0
-1748.0,64/65,24.0,"Wolf, Erich","Overath, Wolfgang",2.0,Tor,10.0,1.0,Karlsruher SC,1.FC Köln,24.0,21.0,1.0,1.0
-1748.0,64/65,24.0,"Wessel, Bernhard","Lechner, Georg",1.0,gehalten,75.0,2.0,Borussia Dortmund,Eintracht Frankfurt,28.0,23.0,3.0,0.0
-1734.0,64/65,26.0,"Fahrian, Wolfgang","Reitgaßl, Willi",1.0,Tor,42.0,0.0,Hertha BSC,1.FC Kaiserslautern,23.0,29.0,2.0,1.0
-1734.0,64/65,26.0,"Strich, Horst-Dieter","Rehhagel, Otto",2.0,Tor,73.0,0.0,1.FC Kaiserslautern,Hertha BSC,24.0,26.0,1.0,1.0
-1727.0,64/65,27.0,"Schwerin, Erhard","Straschitz, Hermann",1.0,Tor,79.0,-1.0,Hamburger SV,Borussia Dortmund,26.0,24.0,0.0,3.0
-1727.0,64/65,27.0,"Loy, Egon","May, Elmar",1.0,Tor,83.0,-3.0,Eintracht Frankfurt,Borussia Neunkirchen,34.0,25.0,2.0,0.0
-1727.0,64/65,27.0,"Paul1, Manfred","Mülhausen, Karl-Heinz",1.0,gehalten,86.0,-1.0,Karlsruher SC,Hannover 96,27.0,27.0,2.0,3.0
-1699.0,64/65,29.0,"Schnoor1, Horst","Luttrop, Otto",1.0,Tor,11.0,1.0,Hamburger SV,TSV 1860 München,31.0,26.0,3.0,3.0
-1699.0,64/65,29.0,"Loy, Egon","Ulsaß, Lothar",1.0,Tor,55.0,0.0,Eintracht Frankfurt,Eintracht Braunschweig,34.0,24.0,2.0,2.0
-1699.0,64/65,29.0,"Paul1, Manfred","Neumann, Jürgen",1.0,gehalten,78.0,1.0,Karlsruher SC,1.FC Kaiserslautern,27.0,23.0,2.0,1.0
-1692.0,64/65,30.0,"Jäcker, Hans","Wild, Horst",1.0,Tor,75.0,0.0,Eintracht Braunschweig,Karlsruher SC,32.0,21.0,3.0,1.0
-1692.0,64/65,30.0,"Jäcker, Hans","Witlatschil, Gustav",1.0,gehalten,3.0,0.0,Eintracht Braunschweig,Karlsruher SC,32.0,29.0,3.0,2.0
-1692.0,64/65,30.0,"Fahrian, Wolfgang","Laszig, Otto",1.0,Tor,81.0,-1.0,Hertha BSC,Hannover 96,24.0,30.0,2.0,2.0
-1692.0,64/65,30.0,"Ertz, Willi","Hoffmann3, Theodor",2.0,Tor,68.0,2.0,Borussia Neunkirchen,VfB Stuttgart,22.0,24.0,0.0,2.0
-1692.0,64/65,30.0,"Bernard, Günter","Müller5, Ludwig",1.0,vorbei,55.0,1.0,SV Werder Bremen,1.FC Nürnberg,25.0,23.0,1.0,0.0
-1601.0,65/66,1.0,"Orzessek, Manfred","Heiden, Günter",1.0,gehalten,54.0,0.0,Borussia Mönchengladbach,Borussia Neunkirchen,31.0,22.0,4.0,1.0
-1594.0,65/66,2.0,"Toth, Gyula","Brunnenmeier, Rudi",2.0,Tor,1.0,0.0,1.FC Nürnberg,TSV 1860 München,24.0,24.0,1.0,3.0
-1594.0,65/66,2.0,"Radenkovic, Petar","Reisch, Stefan",1.0,Tor,16.0,1.0,TSV 1860 München,1.FC Nürnberg,30.0,23.0,3.0,3.0
-1588.0,65/66,3.0,"Broden, Josef","Nolden, Ludwig",1.0,Tor,63.0,-3.0,FC Schalke 04,Meidericher SV,38.0,29.0,4.0,4.0
-1587.0,65/66,3.0,"Orzessek, Manfred","Witlatschil, Gustav",1.0,Tor,42.0,2.0,Borussia Mönchengladbach,Karlsruher SC,31.0,29.0,4.0,3.0
-1587.0,65/66,3.0,"Paul1, Manfred","Netzer, Günter",2.0,gehalten,38.0,-2.0,Karlsruher SC,Borussia Mönchengladbach,27.0,21.0,3.0,0.0
-1587.0,65/66,3.0,"Schnoor1, Horst","Wingert, Jürgen",1.0,Tor,78.0,1.0,Hamburger SV,Borussia Neunkirchen,31.0,21.0,4.0,0.0
-1587.0,65/66,3.0,"Bernard, Günter","Reitgaßl, Willi",2.0,Tor,54.0,2.0,SV Werder Bremen,1.FC Kaiserslautern,25.0,29.0,2.0,2.0
-1587.0,65/66,3.0,"Schnarr, Wolfgang","Schütz1, Arnold",1.0,Tor,84.0,-2.0,1.FC Kaiserslautern,SV Werder Bremen,24.0,30.0,2.0,4.0
-1587.0,65/66,3.0,"Maier, Sepp","Ulsaß, Lothar",1.0,Tor,63.0,3.0,FC Bayern München,Eintracht Braunschweig,21.0,25.0,0.0,3.0
-1587.0,65/66,3.0,"Ewert, Fritz","Sieloff, Klaus-Dieter",2.0,Pfosten,88.0,2.0,1.FC Köln,VfB Stuttgart,28.0,23.0,4.0,3.0
-1587.0,65/66,3.0,"Sawitzki, Günter","Sturm, Hans",1.0,gehalten,80.0,-1.0,VfB Stuttgart,1.FC Köln,32.0,30.0,3.0,4.0
-1580.0,65/66,4.0,"Sawitzki, Günter","Schütz1, Arnold",2.0,Tor,71.0,-1.0,VfB Stuttgart,SV Werder Bremen,32.0,30.0,3.0,4.0
-1580.0,65/66,4.0,"Kunter, Peter","Bandura, Jürgen",1.0,gehalten,56.0,-1.0,Eintracht Frankfurt,Hannover 96,24.0,25.0,0.0,4.0
-1580.0,65/66,4.0,"Kunter, Peter","Laszig, Otto",1.0,gehalten,32.0,-1.0,Eintracht Frankfurt,Hannover 96,24.0,30.0,0.0,3.0
-1573.0,65/66,5.0,"Tilkowski, Hans","Milder, Egon",1.0,Tor,42.0,1.0,Borussia Dortmund,Borussia Mönchengladbach,30.0,23.0,4.0,0.0
-1573.0,65/66,5.0,"Tilkowski, Hans","Netzer, Günter",1.0,Tor,70.0,1.0,Borussia Dortmund,Borussia Mönchengladbach,30.0,21.0,4.0,0.0
-1573.0,65/66,5.0,"Krätschmer, Rudolf","Emmerich, Lothar",2.0,Tor,20.0,0.0,Borussia Mönchengladbach,Borussia Dortmund,20.0,23.0,0.0,4.0
